,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
without anchoring,0,-1935.3908991422686,111.06306118619341,0.0,0.8457084772499434,568.4710411144945,0.0,False,log
full model,1,-1938.125973277768,113.80482322546686,2.7350741355000405,0.0,568.6661847487456,0.6267789971855316,False,log
without decay,2,-3305.0150620114828,106.31206730390886,1369.6241628692144,0.01575112219611747,556.925339747757,191.003076812702,True,log
"without
interaction",3,-3510.4576860242123,62.28129843371107,1575.0667868819442,0.04532573688745692,547.8885629583372,267.770844215772,False,log
"without
agreement bias",4,-3771.708596050613,3678.611095475555,1836.317696908345,0.0,634.8453742610187,160.92824017172973,True,log
"without
entropy",5,-6137.213590706935,48.35347253883356,4201.8226915646665,0.0,440.2092273274518,328.88884876257725,False,log
"without
topic bias",6,-9170.433662525715,67.1645002083078,7235.042763383446,0.0,586.6246329065665,560.9366120873148,False,log
"without
intrinsic biases",7,-9214.401992961295,51.136264333563304,7279.011093819026,0.05822007201696576,601.25633760141,570.6686164378915,False,log
without mu²,8,-13524.994508981828,22.22658146525282,11589.60360983956,0.03499459164951646,403.22934219723504,487.17357117772207,False,log
